"Source","WHO_REGION","Region","Country","ISO3","ISO2","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","SiteID","Longitude","Latitude","Georeliability","Location_type","Survey_type","Year","Age_start","Age_end","HK_examined","HK_positive","HK_prevalence","HK_Perc_HighInfection","HK_Perc_ModerateInfection","Asc_examined","Asc_positive","Asc_prevalence","Asc_Perc_HighInfection","Asc_Perc_ModerateInfection","TT_examined","TT_positive","TT_prevalence","TT_Perc_HighInfection","TT_Perc_ModerateInfection","STH_examined","STH_positive","STH_prevalence","Cum_Prevalence","Quality","Dups","SN","endnote_id","Composite_IU_ID"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","Illu Aba Bora","3155","Alge Sachi","18756","Adare","52166","35.750701999999997","8.5789203999999994","3","","","2009",null,null,"78.0","33.0","0.42307692299999999",null,null,"78.0","31","0.39743589699999998",null,null,"78.0","5.0","6.4102564000000001E-2",null,null,null,null,"0.0","0.63646324499999996","1","0","5107","","AETH0194818756"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Adarkay",null,"38.063000000000002","13.451000000000001","3","","","1995","5","19","114.0","23.0","0.20175438600000001",null,null,"114.0","49","0.42982456099999999",null,null,"114.0","2.0","1.7543860000000001E-2",null,null,"0","0","0.0","0.52155176400000003","3","2","30114","ETH0056","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Addis Zemen Junior",null,"37.782001999999999","12.116","3","","","1995","7","19","115.0","19.0","0.16521739099999999",null,null,"115.0","57","0.495652174",null,null,"115.0","0.0","0.0",null,null,"0","0","0.0","0.54620679800000005","3","2","31533","ETH0059","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Gonder City Adm.","18602","Adi Arkay",null,"38.064999","13.449999999999999","3","","",null,"8","31","120.0","47.0","0.39166666700000002",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,"0","0","0.0","0.39166666700000002","3","2","31514","ETH0052","AETH0194318602"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Amhara","1943","N. Gonder","3171","Addi Arekay","18533","Adi Arkay","52150","38.064999","13.449999999999999","3","","","0",null,null,"120.0","47.0","0.39166666700000002",null,null,"0.0","0","0.0",null,null,"0.0","0.0","0.0",null,null,null,null,"0.0","0.39166666700000002","3","2","4956","","AETH0194318533"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","Illu Aba Bora","3155","Bilo Nopha","18787","Adis Alem","52198","38.4060986","9.0465616999999998","1","","","2009",null,null,"101.0","55.0","0.54455445499999999",null,null,"101.0","36","0.356435644",null,null,"101.0","4.0","3.9603960000000001E-2",null,null,null,null,"0.0","0.67782994299999999","1","0","5121","","AETH0194818787"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","Bale","3132","Ginir","18869","Aebisa","52317","40.648997999999999","7.1657099999999998","3","","","2009",null,null,"98.0","1.0","0.010204082",null,null,"98.0","0","0.0",null,null,"98.0","0.0","0.0",null,null,null,null,"0.0","0.010204082","1","0","5160","","AETH0194818869"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","",null,"",null,"",null,"Aerer",null,null,null,"99","","","1986","5","19","100.0","0.0","0.0",null,null,"100.0","5","5.0000000000000003E-2",null,null,"100.0","2.0","0.02",null,null,"0","0","0.0","6.5094340000000001E-2","3","0","29274","ETH0065","AETH   NA   NA"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","","1948","North Shoa Zone",null,"North Shoa Zone","3172","Akaki",null,"39.0","9.0839999999999996","4","","","1981","0","99","0.0","0.0","0.0",null,null,"2309.0","940","0.40710264200000001",null,null,"2309.0","635.0","0.27501082700000001",null,null,"0","0","0.0","0.53788286299999999","3","0","31544","ETH0067","AETH0194803172"
"GAHI","AFRO","Eastern Africa","Ethiopia","ETH","ET","Oromiya","1948","West Arsi","3689","Shala","19002","Albula Geta","52493","38.313599000000004","7.3650998999999997","3","","","2009",null,null,"105.0","10.0","9.5238094999999995E-2",null,null,"105.0","12","0.114285714",null,null,"105.0","5.0","4.7619047999999997E-2",null,null,null,null,"0.0","0.22339573700000001","1","0","5228","","AETH0194819002"
