"X","Y","altitude","fric_w","fric_m","travel_w","travel_m","riv_dist","HK.prev.mean","HK.antiprev.mean","Asc.prev.mean","Asc.antiprev.mean","TT.prev.mean","TT.antiprev.mean","any.sth.prev.mean","any.sth.exceed50","any.sth.exceed20","any.sth.between.20_50","any.sth.below20"
-127170.165597976,383896.689380724,762.010305148797,0.0238732483086935,0.0238732483086935,41.9140529414229,22.2386782452731,20.7030026896489,0.171440555748736,0.828559444251264,0.0647227858826092,0.935277214117391,0.0800390151705703,0.91996098482943,0.287092086884176,0.171,0.604,0.433,0.396
-117170.165597976,383896.689380724,1058.85876259741,0.0232778972330602,0.0599999986588955,133.032691605293,118.507930875259,15.1152532117937,0.163503173550559,0.836496826449441,0.0586349696698149,0.941365030330185,0.0524740474171222,0.947525952582878,0.253871768437595,0.146,0.515,0.369,0.485
-107170.165597976,383896.689380724,964.148047161727,0.023172855834111,0.023172855834111,25.1682525479019,18.3739180227807,13.1503986834778,0.169984170921505,0.830015829078495,0.0872932325577518,0.912706767442248,0.0503143285236944,0.949685671476306,0.280555111981021,0.151,0.572,0.421,0.428
-187170.165597976,393896.689380724,695.713345424526,0.0149376851361227,0.0310117669643664,91.1025807701357,66.8362362511119,18.303462102635,0.109527753590631,0.890472246409369,0.0572331142795309,0.942766885720469,0.0701168094220398,0.92988319057796,0.219355858106555,0.091,0.435,0.344,0.565
-177170.165597976,393896.689380724,783.496641828091,0.0157737697619494,0.0157737697619494,122.524082724279,135.519177165985,8.35031751675208,0.0914011296019734,0.908598870398027,0.0559747280233994,0.944025271976601,0.0361576518935545,0.963842348106446,0.173273579283498,0.059,0.324,0.265,0.676
-167170.165597976,393896.689380724,1023.02956141757,0.0166544798535347,0.0166544798535347,51.1354020094919,42.0389683861037,1.58212771959734,0.0835699167404869,0.916430083259513,0.0891594905084626,0.910840509491537,0.0257743670526491,0.974225632947351,0.186792778088477,0.06,0.38,0.32,0.62
-157170.165597976,393896.689380724,866.209053505738,0.0175541110378757,0.0442158871037396,51.3978260801995,51.1235857203563,0.284257209165707,0.0883894523497141,0.911610547650286,0.0729885230912763,0.927011476908724,0.0229760383593517,0.977023961640648,0.17434299963433,0.071,0.349,0.278,0.651
-147170.165597976,393896.689380724,1045.58624335713,0.0196764213141261,0.0196764213141261,180.066941820483,106.730743107296,7.98855877112626,0.109957673995274,0.890042326004726,0.0516021737323199,0.94839782626768,0.0366152062713126,0.963384793728687,0.186793208546592,0.074,0.343,0.269,0.657
-137170.165597976,393896.689380724,1185.18810557971,0.0120716596892844,0.00121283082325126,160.084122749161,33.1355808101066,7.50414393961551,0.0975341947755314,0.902465805224469,0.067988613909131,0.932011386090869,0.0323186092730786,0.967681390726921,0.186075047903815,0.072,0.342,0.27,0.658
-127170.165597976,393896.689380724,1091.69690190547,0.0203444425934118,0.0203444425934118,169.623786056352,92.0926262174454,12.2000038215297,0.133650185725341,0.866349814274659,0.0563009946616889,0.943699005338311,0.0484315120476779,0.951568487952322,0.222022860775254,0.101,0.439,0.338,0.561
-117170.165597976,393896.689380724,1072.68133117264,0.0169762643698433,0.0169762643698433,208.334108134669,57.6533183899583,7.5632871137905,0.114473113923778,0.885526886076222,0.0521389546897183,0.947861045310282,0.0304651027988747,0.969534897201125,0.186214640339475,0.069,0.355,0.286,0.645
-107170.165597976,393896.689380724,979.21830828892,0.0192980037088926,0.0192980037088926,72.3307232829544,19.9927214332926,3.2132408204536,0.11239976333041,0.88760023666959,0.0777967682833954,0.922203231716605,0.0270623682686837,0.972937631731316,0.203604035462108,0.087,0.413,0.326,0.587
-97170.1655979764,393896.689380724,909.925118985423,0.0178774766937974,0.0178774766937974,180.178132635301,157.600963571409,2.59371608212742,0.113684958241037,0.886315041758963,0.0532465019797824,0.946753498020218,0.0239655184164291,0.976034481583571,0.180988124403211,0.053,0.321,0.268,0.679
-267170.165597976,403896.689380724,983.579406067779,0.0179383702687687,0.0516639664473977,463.163104903601,144.263865806336,24.2370246975815,0.0685687235412166,0.931431276458783,0.0176484689235262,0.982351531076474,0.0750258760951239,0.924974123904876,0.153655206461701,0.019,0.208,0.189,0.792
-257170.165597976,403896.689380724,785.830321780026,0.0146801068043846,0.0146801068043846,409.762873880188,159.085765846696,15.3714597813352,0.0547037879482878,0.945296212051712,0.0206588403079824,0.979341159692018,0.0445989444204218,0.955401055579578,0.115520764205468,0.014,0.121,0.107,0.879
-247170.165597976,403896.689380724,765.327867052343,0.0155015209387149,0.0155015209387149,393.363092214597,179.362758040698,6.19326006677476,0.0438943145348142,0.956105685465186,0.0240228452975792,0.975977154702421,0.0265478235682129,0.973452176431787,0.0916354580826301,0.008,0.091,0.083,0.909
-237170.165597976,403896.689380724,731.258415669767,0.0175542049972214,0.0175542049972214,249.434131940107,208.297419456521,3.47407339412472,0.0485076336296756,0.951492366370324,0.0360236771090592,0.963976322890941,0.023975532004022,0.976024467995978,0.1047746316696,0.008,0.123,0.115,0.877
-227170.165597976,403896.689380724,756.462549300685,0.0193080950992618,0.0193080950992618,120.904363494801,136.789840314038,0.722062993982564,0.0518883814432663,0.948111618556734,0.0611561621470621,0.938843837852938,0.0223803644807883,0.977619635519212,0.129792655196255,0.009,0.178,0.169,0.822
-217170.165597976,403896.689380724,1029.34019867327,0.0272599549449476,0.0556553378590814,92.6118772311147,77.5484831022912,8.35159878441809,0.0760993220477874,0.923900677952213,0.0714363723798539,0.928563627620146,0.0352465789685669,0.964753421031433,0.172337494934252,0.04,0.342,0.302,0.658
-207170.165597976,403896.689380724,757.430755766696,0.0147043060425408,0.0147043060425408,86.3860815598638,113.270890549842,17.2679963799176,0.0838537071874591,0.916146292812541,0.0623596844192453,0.937640315580755,0.0632559950451889,0.936744004954811,0.195322193695809,0.065,0.417,0.352,0.583
-197170.165597976,403896.689380724,1123.71348890541,0.0226748477565274,0.0226748477565274,64.9935299104995,53.3121735713385,26.4218254694241,0.118409782311858,0.881590217688142,0.0680539657829461,0.931946034217054,0.115990154038916,0.884009845961084,0.273702366266208,0.155,0.589,0.434,0.411
-187170.165597976,403896.689380724,1234.25638070672,0.0200390808560084,0.0200390808560084,21.2357738500133,13.7869318754353,17.9682950131112,0.10606345555438,0.89393654444562,0.0894553575921891,0.910544642407811,0.0709086752738732,0.929091324726127,0.24374834160953,0.131,0.55,0.419,0.45
-177170.165597976,403896.689380724,1240.27222342124,0.0240016660252594,0.0240016660252594,35.8285058326318,23.6813069113172,8.14111990868444,0.104275142207468,0.895724857792532,0.0978550139498913,0.902144986050109,0.0374337950258079,0.962566204974192,0.222175575514447,0.085,0.44,0.355,0.56
-167170.165597976,403896.689380724,1186.82048980692,0.0129018771002573,0.00600792630293939,71.4111082490054,6.89335172594734,3.11384666561471,0.0760255472624094,0.923974452737591,0.0891514848900804,0.91084851510992,0.0253923344604911,0.974607665539509,0.1797694496608,0.052,0.392,0.34,0.608
