"ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","Location","Longitude","Latitude","Georeliability","Year","HK_examined","HK_positive","Asc_examined","Asc_positive","TT_examined","TT_positive","altitude","riv_dist","fric_w","fric_m","travel_w","travel_m","HK_e.logit","Asc_e.logit","TT_e.logit","utm_x","utm_y"
"Oromiya",1949,"E. Harerge",3143,"Gursum (Oromia)",18889,"Abadir",42.39694,9.3010169,1,2009,91,9,91,4,91,0,1662.18233411479,1.83934040280304,0.0120000001043081,0.00113207544200122,29.2239841844602,2.8371222629394,-2.16150649473414,-2.96756139658729,-5.20948615284142,214033.864269102,1029182.47433392
"Oromiya",1948,"W. Harerge",3189,"Mieso",18966,"Abaye Deneba Village",40.489674,9.1450005,3,2008,0,0,491,41,491,46,1355.66015569991,5.97616670092369,0.0120000001043081,0.00113207544200122,86.6817785057696,6.30441044676649,0,-2.38466464981174,-2.25974493431755,3961.15186715074,1013990.93440537
"Oromiya",1948,"Borena",3135,"Dugda Dawa",18845,"Abdi Boru",38.267101,5.39575,3,2009,107,17,107,9,107,7,1644.78363523676,12.6520570770048,0.0120000001043081,0.00097990583908239,126.201676108432,17.3031258420224,-1.64314896977641,-2.33876474957155,-2.59525470695687,-247608.860029102,600555.215512163
"Oromiya",1948,"E. Shewa",3144,"Adama Tulu Jido Kombolcha",18747,"Abine Germama",38.681099,7.99264,3,2009,107,1,107,1,107,4,1677.48339735415,12.5390179414878,0.0135806461270033,0.00442158994605631,73.1956713406392,8.45009412166994,-4.26267987704132,-4.26267987704132,-3.13549421592915,-197720.33134149,888850.25295081
"Oromiya",1948,"Illu Aba Bora",3155,"Alge Sachi",18756,"Adare",35.750702,8.5789204,3,2009,78,33,78,31,78,5,1825.74768245947,1.79122001751399,0.0131964268609603,0.00475564668027718,93.3937607101315,10.3739838685988,-0.306166887125884,-0.410742165209008,-2.59253731398037,-522053.733155204,960686.202228984
"Oromiya",1948,"Illu Aba Bora",3155,"Bilo Nopha",18787,"Adis Alem",38.4060986,9.0465617,1,2009,101,55,101,36,101,4,2355.55487935729,0.510212535677823,0.0120000001043081,0.00111925934365313,79.0160920912683,6.92839845024785,0.176930708159078,-0.58473788205276,-3.07577498122753,-226204.575385137,1006592.31898646
"Oromiya",1948,"Bale",3132,"Ginir",18869,"Aebisa",40.648998,7.16571,3,2009,98,1,98,0,98,0,1999.14375740154,5.51770347022708,0.0126664461196528,0.00374260748768973,109.263033860159,11.0175775287987,-4.17438726989564,-5.28320372873799,-5.28320372873799,19147.894416801,794348.369347588
"Oromiya",1948,"West Arsi",3689,"Shala",19002,"Albula Geta",38.313599,7.3650999,3,2009,105,10,105,12,105,5,1804.40078633376,9.42330521414599,0.0120000001043081,0.00113207544200122,37.9155391081589,3.62248818190807,-2.20775099032321,-2.01223279198639,-2.90540963526071,-239567.081590278,819660.646772257
"Oromiya",1948,"Kelem Wellega",3164,"Gidami",18867,"Alchaya Jilo",34.6469,8.9694595,3,2009,99,5,99,38,99,7,1786.13715555476,6.41677443080829,0.0120000001043081,0.00107142853084952,66.5425589882092,12.4741731542326,-2.84385174226127,-0.468378933518734,-2.51230562397611,-644022.474048981,1007723.21985021
"Oromiya",1948,"Illu Aba Bora",3155,"Darimu",18815,"Anayifa",35.396301,8.6219397,3,2009,103,67,103,22,103,4,1591.60031497344,12.6611104428027,0.0120000001043081,0.00112957550821256,11.8249875761144,1.10391595478429,0.614815337290038,-1.28708771103644,-3.09608024738827,-561442.493540107,966485.86120335
"Amhara",1943,"N. Gonder",3171,"Gonder City Adm.",18602,"Anbesame",37.633333,11.716667,3,2015,464,68,0,0,0,0,2035.12425548505,0.47346406469451,0.0280278429954356,0.025592823318525,51.6688547155502,22.3990989287983,-1.75584229580672,0,0,-304806.688201647,1305773.19234384
"Oromiya",1948,"E. Wellega",3146,"Gida Ayana",18866,"Andode Dicho",38.7388027,8.8292016,1,2009,110,22,110,6,110,0,2054.61570604284,0.994521121231757,0.012104513062957,0.00134262485747039,29.0738862490967,2.99560332154906,-1.36948724280351,-2.77738489450327,-5.39816270151775,-189831.145452242,981771.904252922
"Snnp",1950,"Gamo Gofa",3148,"Arba Minch Town",19118,"Arba Minch",37.5641095,6.0206054,1,2015,345,3,345,31,345,4,1233.9310078712,1.66190355439586,0.0120000001043081,0.00111404285202083,2.98654643364796,0.244681104161979,-4.58350868920691,-2.30099653030891,-4.32927028223457,-325178.604280076,671122.563568501
"Amhara",1943,"N. Gonder",3171,"Gonder City Adm.",18602,"Awramba and Neighboring Communities",37.58333,11.95,3,2010,392,44,392,37,392,11,1788,4.28604476323945,0.0246900095390024,0.0246900095390024,116.574899765766,97.284320271091,-2.05814904102838,-2.24918431626693,-3.50176381535531,-309603.559974428,1331919.58069079
"Oromiya",1948,"W. Harerge",3189,"Doba",18839,"Babile Elementary and Junior Secondary School",42.3298717,9.2219852,1,2001,415,28,415,16,415,15,1642.24134896924,3.8848731077303,0.0120000001043081,0.000750000006519258,7.27510877877642,0.486860929725539,-2.6098117615188,-3.18685338429979,-3.25187374258321,206595.21676886,1020490.63469249
"Amhara",1943,"Oromiya",3177,"Dewa Cheffa",18585,"Babile Town",42.3298717,9.2219852,1,2012,644,2,0,0,644,1,1642.24134896924,3.8848731077303,0.0120000001043081,0.000750000006519258,7.27510877877642,0.486860929725539,-5.54907608489522,0,-6.06145691892802,206595.21676886,1020490.63469249
